CIRCLE,DISTRICT,ZONE_ID,GRID_NAME,FEEDER_NAME,SUBSTATION_NAME,OPEN_DATE,CLOSE_DATE,FAULT_TYPE,FAULT_REASON,ZSO_NAME,LAST_PROTECTION_VISITOR_NAME,,
CITY CIRCLE,MOTI NAGAR,1301,KIRTI NAGAR,5/31 KIRTI NAGAR IND. AREA,1301_HT1301-25/5_121769256,4/19/2020 12:11,4/19/2020 12:47,O/H Fault,HT Jumper Sparking,SANJEEV KUMAR,Vikas Ji ,,
CITY CIRCLE,MOTI NAGAR,1301,KIRTI NAGAR,5/31 KIRTI NAGAR IND. AREA,NA,4/19/2020 13:46,4/19/2020 16:01,NA,NA,Radhey Sham,Pradeep Ji,,
CITY CIRCLE,MOTI NAGAR,1303,REWARI LINE GRID,DSIDC - 3,1303_DSIDC - 3_19464849,4/6/2020 15:03,4/6/2020 15:20,HT ABC Fault,Sparking/Fire in ABC,Rajvir Singh,Anant Kumar,,
CITY CIRCLE,MOTI NAGAR,1303,SUDARSHAN PARK GRID,F BLK BALI NAGAR,1303_F BLK BALI NAGAR_19464857,4/8/2020 17:15,4/8/2020 17:35,ESD,Maintenance cause,Deepanshu Agg,Neeraj ,,
CITY CIRCLE,MOTI NAGAR,1303,SUDARSHAN PARK GRID,F BLK BALI NAGAR,NA,4/8/2020 20:13,4/8/2020 20:32,NA,NA,Rajvir Singh,Sandeep Dwivedi,,
CITY CIRCLE,MOTI NAGAR,1304,PUSA GRID,TODAPUR PARK S/S,1304_POLICE COLONY TODAPUR_19467485,4/13/2020 12:11,4/13/2020 13:05,HT ABC Fault,Sparking/Fire in ABC,,,,
CITY CIRCLE,MOTI NAGAR,1304,PUSA GRID,TODAPUR PARK S/S,1304_POLICE COLONY TODAPUR_19467485,4/13/2020 12:13,4/13/2020 12:40,HT ABC Fault,Sparking/Fire in ABC,,,,
CITY CIRCLE,MOTI NAGAR,1304,PUSA GRID,TODAPUR PARK S/S,1304_GENE BANK_19464784,4/13/2020 12:40,4/13/2020 12:45,Other,For Opening/Connecting Jumper,,,,
CITY CIRCLE,MOTI NAGAR,1304,PUSA GRID,TODAPUR PARK S/S,1304_GENE BANK_19464784,4/13/2020 13:04,4/13/2020 13:40,Other,For Opening/Connecting Jumper,,,,
CITY CIRCLE,MOTI NAGAR,1304,PUSA GRID,TODAPUR PARK S/S,NA,4/13/2020 14:37,4/13/2020 15:25,NA,NA,,,,
